Satellite Name,Country,Operator,Purpose,Orbit Class,Launch Date,Expected Lifetime,Launch Mass (kg.)
AAUSat-4,Denmark,University of Aalborg,Earth Observation,LEO,2016-04-25,10.0,1.0
"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,2014-02-06,15.0,6330.0
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,2016-06-15,15.0,1800.0
"ABS-3 (Agila 2, Mabuhay 1)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,1997-08-19,15.0,3775.0
ABS-3A ,Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,2015-03-02,15.0,2000.0
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,2004-03-13,12.0,4143.0
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,1999-09-26,15.0,2894.0
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Communications,GEO,1999-09-04,15.0,3500.0
"Advanced Orion 2 (NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,1998-05-09,10.0,4500.0
"Advanced Orion 3 (NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,2003-09-09,10.0,4500.0
"Advanced Orion 4 (NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,2009-01-18,10.0,5000.0
"Advanced Orion 5 (NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,2010-11-21,10.0,5000.0
"Advanced Orion 6 (NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,2012-06-29,10.0,5000.0
"Advanced Orion 7 (NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),Earth Observation,GEO,2016-06-11,10.0,5000.0
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,US Air Force,Communications,GEO,2012-05-03,14.0,6169.0
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,Communications,GEO,2013-09-18,14.0,6169.0
Aeneas,USA,Department of Homeland Security,Technology Development,LEO,2012-09-13,10.0,3.0
Aerocube 4.5A,USA,Aerospace Corporation,Technology Development,LEO,2012-09-13,10.0,4.5
Aerocube 4.5B,USA,Aerospace Corporation,Technology Development,LEO,2012-09-13,10.0,4.5
Aerocube 5A,USA,Aerospace Corporation,Technology Development,LEO,2013-12-06,2.0,5.0
Aerocube 5B,USA,Aerospace Corporation,Technology Development,LEO,2013-12-06,2.0,5.0
Aerocube 5C,USA,Aerospace Corporation,Technology Development,LEO,2015-10-08,10.0,1.5
Aerocube 6A,USA,Aerospace Corporation,Technology Development,LEO,2014-06-19,3.0,5.0
Aerocube 6B,USA,Aerospace Corporation,Technology Development,LEO,2014-06-19,3.0,5.0
Aerocube 7A,USA,Aerospace Corporation,Technology Development,LEO,2015-10-08,10.0,2.0
Aerocube 8A,USA,Aerospace Corporation,Technology Development,LEO,2015-05-20,10.0,5.0
Aerocube 8B,USA,Aerospace Corporation,Technology Development,LEO,2015-05-20,10.0,5.0
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,GEO,2008-12-20,15.0,3460.0
Afristar ,USA,1Worldspace,Communications,GEO,1998-10-28,15.0,2704.0
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Earth Observation,LEO,2007-04-25,2.0,215.0
AISat-1,Germany,German Aerospace Center (DLR),Communications,LEO,2014-06-30,10.0,14.0
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Communications,LEO,2010-07-12,3.0,6.0
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Communications,LEO,2014-07-08,3.0,6.0
AIST-1,Russia,"Samara State Aerospace University, SGAU",Technology Development,LEO,2013-12-28,10.0,1200.0
AIST-2,Russia,"Samara State Aerospace University, SGAU",Technology Development,LEO,2013-04-19,3.0,53.0
AIST-2D,Russia,Samara State Aerospace University,Technology Development,LEO,2016-04-27,10.0,531.0
ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Technology Development,LEO,2013-12-06,10.0,5.0
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Communications/Technology Development,GEO,2013-07-25,15.0,6650.0
Alsat-2A (Algeria Satellite 2A),Algeria,Centre National des Techniques Spatiales (CNTS),Earth Observation,LEO,2010-07-12,5.0,130.0
Amazonas-1 ,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,2004-08-04,15.0,4545.0
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,2009-10-01,15.0,5465.0
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,2013-02-07,15.0,6265.0
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,2014-03-22,15.0,2938.0
"AMC-1 (Americom 1, GE-1)",USA,SES (Société Européenne des Satellites (SES)),Communications,GEO,1996-09-08,15.0,2783.0
"AMC-10 (Americom-10, GE 10)",USA,SES World Skies,Communications,GEO,2004-02-05,15.0,2315.0
"AMC-11 (Americom-11, GE 11)",USA,SES World Skies,Communications,GEO,2004-05-19,15.0,2340.0
AMC-15 (Americom-15),USA,SES World Skies,Communications,GEO,2004-10-14,15.0,4200.0
AMC-16 (Americom-16),USA,SES World Skies,Communications,GEO,2004-12-17,15.0,4312.0
AMC-18 (Americom 18),USA,SES World Skies,Communications,GEO,2006-12-08,15.0,2081.0
"AMC-2 (Americom 2, GE-2)",USA,SES World Skies,Communications,GEO,1997-01-30,15.0,2648.0
AMC-21 (Americom 21),USA,SES World Skies,Communications,GEO,2008-08-14,15.0,2500.0
"AMC-3 (Americom 3, GE-3)",USA,SES World Skies,Communications,GEO,1997-09-04,15.0,2845.0
"AMC-4 (Americom-4, GE-4)",USA,SES World Skies,Communications,GEO,1999-11-13,15.0,3909.0
"AMC-6 (Americom-6, GE-6)",USA,SES World Skies,Communications,GEO,2000-10-22,15.0,3901.0
